"","DE_fc_tumor_over_normal","DE_ml_normal_vs_tumor","DE_p_normal_vs_tumor","p_adjusted_bonferroni","p_adjusted_BH","p_adjusted_BY","gene_symbol"
"CCL4",0.284990912940379,6.16521252964092,0.0915438420180782,1,0.117732779503686,1,"CCL4"
"DHRS7C",-2.75664263211382,1.46445673272358,1.71305673372426e-42,3.43467875111714e-38,1.71733937555857e-38,1.80032551355925e-37,"DHRS7C"
"TAS2R20",0.526495672425475,3.58579417767615,1.06776130122065e-05,0.214086140894739,2.11799801542952e-05,0.000222034498196107,"TAS2R20"
"CCL8",-3.35290824017615,5.44081905064363,3.26961788209159e-18,6.55558385359364e-14,2.68012422469078e-17,2.80963453694156e-16,"CCL8"
"CSDAP1",0.23179497798103,5.22074383045393,0.00673799302594597,1,0.0100773494024897,0.105643121543477,"CSDAP1"
"FAM73A",-0.518852981029811,8.31223204607046,2.02203095786528e-10,4.05417207051989e-06,6.17637426953061e-10,6.4748321368397e-09,"FAM73A"
"FAM73B",-0.90489373306233,9.61994825542005,3.17177494541341e-17,6.35940876555388e-13,2.20967597309915e-16,2.31645304806184e-15,"FAM73B"
"TMEM14A",0.330081131436314,8.69807471205962,2.39233501854513e-06,0.0479663171218298,5.0231769946413e-06,5.26590948258858e-05,"TMEM14A"
"ZNF75D",0.316038304539296,8.14138744495257,0.000309589911887709,1,0.000532996542447928,0.00558752269740376,"ZNF75D"
"MYCBPAP",-0.368747078252033,1.56558499745935,0.0020065841824518,1,0.00317989352340805,0.0333355393934954,"MYCBPAP"
"RNASE11",0.00559583333333333,0.00279791666666667,0.515575815400837,1,0.564509343533572,1,"RNASE11"
"USF1",-0.244270079607046,9.62004788702574,0.000121454634310264,1,0.000218439956204358,0.00228995521754436,"USF1"
"AP2B1",0.181009527439024,12.5902608612805,0.00237019141238544,1,0.00372198761108459,0.0390184337047974,"AP2B1"
"HSBP1",0.13821372798103,11.0978532054539,0.00736901225264804,1,0.010976871891946,0.115073018224567,"HSBP1"
"GTF2E1",0.178880115176152,8.04286688685637,0.000201745952978758,1,0.000354018148807425,0.00371125192045237,"GTF2E1"
"GFER",-0.536722281504066,9.3983559324187,2.57227388542443e-12,5.15740914027599e-08,9.47890875118214e-12,9.93695335256772e-11,"GFER"
"ZCWPW2",-0.94779373306233,2.85469825542005,2.15304379341336e-10,4.31685280579379e-06,6.55470371128185e-10,6.87144340436732e-09,"ZCWPW2"
"NUBP1",-0.0895818512872619,8.76168224508807,0.122944028911123,1,0.15437310104812,1,"NUBP1"
"HS3ST3A1",0.222245655487805,4.3030740472561,0.135104048105787,1,0.168261185411774,1,"HS3ST3A1"
"ZCWPW1",-0.089828167344173,5.44049811144986,0.455775680646433,1,0.506585863792948,1,"ZCWPW1"
"SCML1",1.46744915311653,8.21796847899729,3.76285712941006e-18,7.54452854446717e-14,3.05075962170124e-17,3.19817996422443e-16,"SCML1"
"CYP26B1",-1.80557957317073,6.00922728658537,2.4585201751238e-14,4.92933295112323e-10,1.14396216085478e-13,1.19924127638625e-12,"CYP26B1"
"SCOC",-0.188834264905148,10.3206511602304,0.020726902537382,1,0.029269925051029,0.306843211070003,"SCOC"
"PABPC1L2B",-1.09257275575881,0.618167280657182,3.56037404088408e-36,7.13854995197259e-32,1.08100851654818e-32,1.13324555438178e-31,"PABPC1L2B"
"SAMD5",0.0833848492547435,8.62675583926152,0.0433981177936277,1,0.0586461051265239,0.614800317472591,"SAMD5"
"PPP1R14D",-1.89477280657182,9.90988188939702,8.42799720371961e-19,1.68981343934578e-14,7.83414343355631e-18,8.21270885711028e-17,"PPP1R14D"
"PABPC1L2A",-0.389153133468835,0.221625872289973,2.92454182802355e-19,5.86370636518722e-15,2.99168692101389e-18,3.13625272275086e-17,"PABPC1L2A"
"PPP1R14B",0.909463795731707,10.2618587271341,4.14886800416877e-20,8.31848034835838e-16,5.1412485433457e-19,5.38968654411949e-18,"PPP1R14B"
"OR2AG2",0.0454726880081301,0.530802197662602,0.933482394346439,1,0.94298276937959,1,"OR2AG2"
"OR2AG1",-0.00107748136856368,0.0262758934620596,0.914935388934658,1,0.927330631288034,1,"OR2AG1"
"PLEK2",0.789754378387533,9.96841621358401,8.17123078181535e-11,1.63833177175398e-06,2.59846434853922e-10,2.72402865113817e-09,"PLEK2"
"UBP1",-0.134023738143632,10.999724716294,0.00205920655432921,1,0.00325995036931099,0.0341747933246949,"UBP1"
"ZNF747",-0.693951736111111,7.77872413194445,9.7084718858232e-19,1.94654861310755e-14,8.94154595088871e-18,9.37362383647178e-17,"ZNF747"
"CD46",0.968156063685637,12.7198316903794,9.92869940467943e-21,1.99070423063823e-16,1.43636920647645e-19,1.50577816249589e-18,"CD46"
"SSC5D",-1.51860244749322,8.06730365430217,5.87615575972885e-07,0.0117816922982564,1.30660888302721e-06,1.3697474953615e-05,"SSC5D"
"TCTE3",0.951494757791328,5.08575713499322,8.23772625058419e-12,1.65166411324213e-07,2.88097699850363e-11,3.02019301962168e-10,"TCTE3"
"TCTE1",-0.455940201558266,0.551107948001355,2.37701203650135e-06,0.047659091331852,4.99309495357276e-06,5.23437380198497e-05,"TCTE1"
"CD40",-0.63285664803523,7.72248631012873,0.000785234255728154,1,0.00130104510597054,0.0136391486266849,"CD40"
