p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.12E-21,0.32210766,0.959,0.911,1.92E-17,ifnCAF,PRRX1
1.18E-21,0.5623802,0.841,0.748,2.01E-17,ifnCAF,RGS16
1.66E-21,0.301879842,0.275,0.147,2.83E-17,ifnCAF,IL11RA
2.15E-21,0.58788815,0.893,0.911,3.67E-17,ifnCAF,TIMP3
3.08E-21,0.466277528,0.699,0.593,5.26E-17,ifnCAF,KDM6B
3.32E-21,0.274802652,0.938,0.873,5.67E-17,ifnCAF,PKM
3.61E-21,0.347064093,0.689,0.526,6.17E-17,ifnCAF,GBP2
6.18E-21,0.394844358,0.331,0.187,1.06E-16,ifnCAF,SNAI1
7.26E-21,0.319824374,0.322,0.172,1.24E-16,ifnCAF,RASGEF1B
7.40E-21,0.307747718,0.979,0.959,1.26E-16,ifnCAF,SQSTM1
8.47E-21,0.279009813,0.758,0.595,1.45E-16,ifnCAF,HM13
8.82E-21,0.272892587,0.953,0.927,1.51E-16,ifnCAF,FN1
9.89E-21,0.441592682,0.738,0.636,1.69E-16,ifnCAF,TNFRSF12A
1.12E-20,0.261982636,0.424,0.251,1.91E-16,ifnCAF,RUNX2
3.09E-20,0.251377933,0.353,0.194,5.29E-16,ifnCAF,RAB27A
3.39E-20,0.305929081,0.412,0.249,5.80E-16,ifnCAF,FOXO1
4.22E-20,0.250880693,0.86,0.75,7.21E-16,ifnCAF,PSMB3
8.12E-20,0.696480569,0.35,0.232,1.39E-15,ifnCAF,G0S2
1.44E-19,0.26070767,0.468,0.298,2.47E-15,ifnCAF,A4GALT
1.55E-19,0.327231837,0.483,0.306,2.65E-15,ifnCAF,PFKFB3
1.61E-19,0.256217116,0.782,0.625,2.76E-15,ifnCAF,IFI27L2
1.81E-19,0.253036584,0.436,0.265,3.09E-15,ifnCAF,HELZ2
1.93E-19,0.648825108,0.356,0.216,3.30E-15,ifnCAF,TNC
2.71E-19,0.279608848,0.633,0.462,4.64E-15,ifnCAF,IFNGR2
2.84E-19,0.296246014,0.704,0.537,4.86E-15,ifnCAF,MANF
3.64E-19,0.270242074,0.785,0.641,6.22E-15,ifnCAF,PDCD5
5.22E-19,0.491171741,0.517,0.377,8.92E-15,ifnCAF,TUBB2A
5.69E-19,0.254986946,0.998,0.999,9.73E-15,ifnCAF,LGALS1
8.36E-19,0.25803902,0.552,0.374,1.43E-14,ifnCAF,SAMHD1
8.62E-19,0.253346553,0.429,0.266,1.47E-14,ifnCAF,RNF149
8.67E-19,0.309971104,0.794,0.7,1.48E-14,ifnCAF,IL6ST
8.73E-19,0.283434161,0.89,0.812,1.49E-14,ifnCAF,TSPO
8.92E-19,0.290557518,0.257,0.125,1.52E-14,ifnCAF,UCHL1
9.95E-19,0.423725958,0.629,0.473,1.70E-14,ifnCAF,DNAJA4
1.60E-18,0.254933504,0.883,0.782,2.73E-14,ifnCAF,MYDGF
1.95E-18,0.264635866,0.32,0.173,3.33E-14,ifnCAF,CDKN2B
2.03E-18,0.266544115,0.986,0.953,3.47E-14,ifnCAF,CEBPB
2.37E-18,0.258144169,0.988,0.97,4.05E-14,ifnCAF,CALR
4.24E-18,0.274216652,0.744,0.596,7.24E-14,ifnCAF,OSBPL8
6.85E-18,0.308909458,0.421,0.269,1.17E-13,ifnCAF,EHD1
1.17E-17,0.307118798,0.944,0.904,2.00E-13,ifnCAF,HSPH1
2.30E-17,0.290578165,0.445,0.286,3.93E-13,ifnCAF,DAAM1
2.71E-17,0.299225257,0.916,0.935,4.63E-13,ifnCAF,KLF6
3.23E-17,0.409180228,0.251,0.142,5.53E-13,ifnCAF,BAMBI
5.21E-17,0.289847938,0.308,0.17,8.91E-13,ifnCAF,F3
5.34E-17,0.286195541,0.405,0.249,9.12E-13,ifnCAF,LDLR
6.76E-17,0.367691888,0.292,0.156,1.16E-12,ifnCAF,GREM1
7.74E-17,0.284625994,0.728,0.641,1.32E-12,ifnCAF,SCPEP1
9.34E-17,0.428450732,0.398,0.448,1.60E-12,ifnCAF,RRAD
9.69E-17,0.347685426,0.629,0.482,1.66E-12,ifnCAF,HIC1
3.75E-16,0.404474182,0.525,0.376,6.41E-12,ifnCAF,RGS2
3.93E-16,0.268047021,0.427,0.277,6.72E-12,ifnCAF,ARL4A
4.44E-16,0.264541094,0.789,0.655,7.59E-12,ifnCAF,PTTG1IP
9.71E-16,0.316723906,0.644,0.542,1.66E-11,ifnCAF,RAB31
1.92E-15,0.270105792,0.576,0.421,3.29E-11,ifnCAF,PHLDB1
6.24E-15,0.440924682,0.296,0.17,1.07E-10,ifnCAF,FMO2
1.62E-14,0.347021644,0.755,0.731,2.77E-10,ifnCAF,BAG3
1.65E-14,0.255270517,0.263,0.143,2.83E-10,ifnCAF,RDH10
1.98E-14,0.267054437,0.734,0.601,3.39E-10,ifnCAF,PHLDA3
2.75E-14,0.317851728,0.731,0.669,4.70E-10,ifnCAF,EMP2
3.88E-14,0.302023715,0.651,0.515,6.64E-10,ifnCAF,RHOQ
4.36E-14,0.269701473,0.385,0.245,7.45E-10,ifnCAF,NR2F1
6.53E-14,0.362784813,0.669,0.572,1.12E-09,ifnCAF,TWIST1
2.73E-12,0.498404681,0.543,0.482,4.68E-08,ifnCAF,ID1
9.31E-12,0.284142179,0.654,0.535,1.59E-07,ifnCAF,MMP14
1.09E-11,0.29708312,0.588,0.47,1.87E-07,ifnCAF,ABL2
1.17E-11,0.272919793,0.874,0.9,1.99E-07,ifnCAF,ID3
1.95E-11,0.265493913,0.277,0.179,3.34E-07,ifnCAF,PKDCC
2.50E-11,0.328469135,0.74,0.764,4.27E-07,ifnCAF,IER5L
1.07E-10,0.252302059,0.462,0.334,1.82E-06,ifnCAF,ELMSAN1
1.15E-10,0.364184581,0.505,0.407,1.97E-06,ifnCAF,PLAU
1.46E-10,0.311443729,0.829,0.812,2.49E-06,ifnCAF,PRSS23
5.77E-10,0.294149024,0.585,0.471,9.87E-06,ifnCAF,ZC3HAV1
2.12E-09,0.286765952,0.31,0.207,3.62E-05,ifnCAF,CDKN2A
3.34E-09,0.257197442,0.406,0.291,5.72E-05,ifnCAF,SOCS1
6.69E-09,0.564395329,0.638,0.569,0.000114439,ifnCAF,APOE
1.45E-08,0.667283316,0.498,0.472,0.000247342,ifnCAF,MMP11
1.88E-08,0.288805184,0.487,0.378,0.000321375,ifnCAF,ITGBL1
1.49E-07,0.306148404,0.495,0.437,0.002542168,ifnCAF,FBXO32
2.31E-07,0.341309466,0.25,0.175,0.003957834,ifnCAF,GADD45G
1.07E-06,0.3229383,0.326,0.235,0.018368381,ifnCAF,CCL3
1.35E-06,0.305552464,0.411,0.315,0.023018847,ifnCAF,RGCC
0,1.673993063,0.455,0.156,0,apCAF,CXCR4
0,1.558398292,0.459,0.295,0,apCAF,HLA-DRB1
0,1.520342984,0.462,0.28,0,apCAF,HLA-DPA1
1.41E-295,1.901047325,0.704,0.439,2.42E-291,apCAF,HLA-DRA
1.03E-289,1.310865248,0.426,0.303,1.76E-285,apCAF,HLA-DPB1
1.08E-275,1.435650446,0.477,0.29,1.85E-271,apCAF,SRGN
2.12E-243,1.045603521,0.387,0.194,3.63E-239,apCAF,RGS1
1.01E-233,1.767198053,0.799,0.444,1.72E-229,apCAF,CD74
9.02E-224,1.282868247,0.377,0.26,1.54E-219,apCAF,CCL4
5.65E-195,1.261135941,0.318,0.089,9.67E-191,apCAF,CD69
7.30E-179,0.926350768,0.252,0.121,1.25E-174,apCAF,HLA-DQA1
9.22E-178,0.90843239,0.296,0.132,1.58E-173,apCAF,HLA-DQB1
3.89E-161,3.053660076,0.348,0.264,6.66E-157,apCAF,IGLC2
2.86E-159,0.673562759,0.262,0.174,4.89E-155,apCAF,CCL4L2
2.06E-155,0.754904313,0.295,0.049,3.53E-151,apCAF,PTPRC
